Team,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
NYK,6,Sat Oct 30 2021,7:00p,,Box Score,@,New Orleans Pelicans,W,,123,117,5,1,W 3,
NYK,7,Mon Nov 1 2021,7:30p,,Box Score,,Toronto Raptors,L,,104,113,5,2,L 1,
NYK,8,Wed Nov 3 2021,7:00p,,Box Score,@,Indiana Pacers,L,,98,111,5,3,L 2,
NYK,9,Fri Nov 5 2021,7:30p,,Box Score,@,Milwaukee Bucks,W,,113,98,6,3,W 1,
NYK,10,Sun Nov 7 2021,6:00p,,Box Score,,Cleveland Cavaliers,L,,109,126,6,4,L 1,
NYK,11,Mon Nov 8 2021,7:00p,,Box Score,@,Philadelphia 76ers,W,,103,96,7,4,W 1,
NYK,12,Wed Nov 10 2021,7:30p,,Box Score,,Milwaukee Bucks,L,,100,112,7,5,L 1,
NYK,13,Fri Nov 12 2021,7:00p,,Box Score,@,Charlotte Hornets,L,,96,104,7,6,L 2,
NYK,14,Mon Nov 15 2021,7:30p,,Box Score,,Indiana Pacers,W,,92,84,8,6,W 1,
NYK,15,Wed Nov 17 2021,7:30p,,Box Score,,Orlando Magic,L,,98,104,8,7,L 1,
NYK,16,Sat Nov 20 2021,5:00p,,Box Score,,Houston Rockets,W,,106,99,9,7,W 1,
NYK,17,Sun Nov 21 2021,8:00p,,Box Score,@,Chicago Bulls,L,,103,109,9,8,L 1,
NYK,18,Tue Nov 23 2021,7:30p,,Box Score,,Los Angeles Lakers,W,,106,100,10,8,W 1,
NYK,19,Fri Nov 26 2021,7:00p,,Box Score,,Phoenix Suns,L,,97,118,10,9,L 1,
NYK,20,Sat Nov 27 2021,7:30p,,Box Score,@,Atlanta Hawks,W,,99,90,11,9,W 1,
NYK,21,Tue Nov 30 2021,7:30p,,Box Score,@,Brooklyn Nets,L,,110,112,11,10,L 1,
NYK,22,Thu Dec 2 2021,7:30p,,Box Score,,Chicago Bulls,L,,115,119,11,11,L 2,
NYK,23,Sat Dec 4 2021,1:00p,,Box Score,,Denver Nuggets,L,,99,113,11,12,L 3,
NYK,24,Tue Dec 7 2021,8:30p,,Box Score,@,San Antonio Spurs,W,,121,109,12,12,W 1,
NYK,25,Wed Dec 8 2021,7:00p,,Box Score,@,Indiana Pacers,L,,102,122,12,13,L 1,
NYK,26,Fri Dec 10 2021,7:30p,,Box Score,@,Toronto Raptors,L,,87,90,12,14,L 2,
NYK,27,Sun Dec 12 2021,12:00p,,Box Score,,Milwaukee Bucks,L,,97,112,12,15,L 3,
NYK,28,Tue Dec 14 2021,7:30p,,Box Score,,Golden State Warriors,L,,96,105,12,16,L 4,
NYK,29,Thu Dec 16 2021,8:00p,,Box Score,@,Houston Rockets,W,,116,103,13,16,W 1,
NYK,30,Sat Dec 18 2021,7:00p,,Box Score,@,Boston Celtics,L,,107,114,13,17,L 1,
NYK,31,Tue Dec 21 2021,7:30p,,Box Score,,Detroit Pistons,W,,105,91,14,17,W 1,
NYK,32,Thu Dec 23 2021,7:30p,,Box Score,,Washington Wizards,L,,117,124,14,18,L 1,
NYK,33,Sat Dec 25 2021,12:00p,,Box Score,,Atlanta Hawks,W,,101,87,15,18,W 1,
NYK,34,Tue Dec 28 2021,8:00p,,Box Score,@,Minnesota Timberwolves,W,,96,88,16,18,W 2,
NYK,35,Wed Dec 29 2021,7:00p,,Box Score,@,Detroit Pistons,W,,94,85,17,18,W 3,
NYK,36,Fri Dec 31 2021,8:00p,,Box Score,@,Oklahoma City Thunder,L,,80,95,17,19,L 1,
NYK,37,Sun Jan 2 2022,3:30p,,Box Score,@,Toronto Raptors,L,,105,120,17,20,L 2,
NYK,38,Tue Jan 4 2022,7:30p,,Box Score,,Indiana Pacers,W,,104,94,18,20,W 1,
NYK,39,Thu Jan 6 2022,7:30p,,Box Score,,Boston Celtics,W,,108,105,19,20,W 2,
NYK,40,Sat Jan 8 2022,7:30p,,Box Score,@,Boston Celtics,L,,75,99,19,21,L 1,
NYK,41,Mon Jan 10 2022,7:30p,,Box Score,,San Antonio Spurs,W,,111,96,20,21,W 1,
NYK,42,Wed Jan 12 2022,7:30p,,Box Score,,Dallas Mavericks,W,,108,85,21,21,W 2,
NYK,43,Sat Jan 15 2022,7:30p,,Box Score,@,Atlanta Hawks,W,,117,108,22,21,W 3,
NYK,44,Mon Jan 17 2022,1:00p,,Box Score,,Charlotte Hornets,L,,87,97,22,22,L 1,
NYK,45,Tue Jan 18 2022,7:30p,,Box Score,,Minnesota Timberwolves,L,,110,112,22,23,L 2,
NYK,46,Thu Jan 20 2022,7:30p,,Box Score,,New Orleans Pelicans,L,,91,102,22,24,L 3,
NYK,47,Sun Jan 23 2022,1:00p,,Box Score,,Los Angeles Clippers,W,,110,102,23,24,W 1,
NYK,48,Mon Jan 24 2022,7:00p,,Box Score,@,Cleveland Cavaliers,L,,93,95,23,25,L 1,
NYK,49,Wed Jan 26 2022,7:30p,,Box Score,@,Miami Heat,L,,96,110,23,26,L 2,
NYK,50,Fri Jan 28 2022,10:00p,,Box Score,@,Milwaukee Bucks,L,,108,123,23,27,L 3,
NYK,51,Mon Jan 31 2022,7:30p,,Box Score,,Sacramento Kings,W,,116,96,24,27,W 1,
NYK,52,Wed Feb 2 2022,7:30p,,Box Score,,Memphis Grizzlies,L,,108,120,24,28,L 1,
NYK,53,Sat Feb 5 2022,8:30p,,Box Score,@,Los Angeles Lakers,L,OT,115,122,24,29,L 2,
NYK,54,Mon Feb 7 2022,9:00p,,Box Score,@,Utah Jazz,L,,104,113,24,30,L 3,
NYK,55,Tue Feb 8 2022,9:00p,,Box Score,@,Denver Nuggets,L,,115,132,24,31,L 4,
NYK,56,Thu Feb 10 2022,10:00p,,Box Score,@,Golden State Warriors,W,,116,114,25,31,W 1,
NYK,57,Sat Feb 12 2022,5:00p,,Box Score,@,Portland Trail Blazers,L,,103,112,25,32,L 1,
NYK,58,Mon Feb 14 2022,7:30p,,Box Score,,Oklahoma City Thunder,L,OT,123,127,25,33,L 2,
NYK,59,Wed Feb 16 2022,7:30p,,Box Score,,Brooklyn Nets,L,,106,111,25,34,L 3,
NYK,60,Fri Feb 25 2022,7:30p,,Box Score,,Miami Heat,L,,100,115,25,35,L 4,
NYK,61,Sun Feb 27 2022,1:00p,,Box Score,,Philadelphia 76ers,L,,109,125,25,36,L 5,
NYK,62,Wed Mar 2 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,108,123,25,37,L 6,
NYK,63,Fri Mar 4 2022,10:00p,,Box Score,@,Phoenix Suns,L,,114,115,25,38,L 7,
NYK,64,Sun Mar 6 2022,10:00p,,Box Score,@,Los Angeles Clippers,W,,116,93,26,38,W 1,
NYK,65,Mon Mar 7 2022,10:30p,,Box Score,@,Sacramento Kings,W,,131,115,27,38,W 2,
NYK,66,Wed Mar 9 2022,8:30p,,Box Score,@,Dallas Mavericks,W,,107,77,28,38,W 3,
NYK,67,Fri Mar 11 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,114,118,28,39,L 1,
NYK,68,Sun Mar 13 2022,1:00p,,Box Score,@,Brooklyn Nets,L,,107,110,28,40,L 2,
NYK,69,Wed Mar 16 2022,7:30p,,Box Score,,Portland Trail Blazers,W,,128,98,29,40,W 1,
NYK,70,Fri Mar 18 2022,7:30p,,Box Score,,Washington Wizards,W,,100,97,30,40,W 2,
NYK,71,Sun Mar 20 2022,7:30p,,Box Score,,Utah Jazz,L,,93,108,30,41,L 1,
NYK,72,Tue Mar 22 2022,7:30p,,Box Score,,Atlanta Hawks,L,,111,117,30,42,L 2,
NYK,73,Wed Mar 23 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,121,106,31,42,W 1,
NYK,74,Fri Mar 25 2022,8:00p,,Box Score,@,Miami Heat,W,,111,103,32,42,W 2,
NYK,75,Sun Mar 27 2022,3:30p,,Box Score,@,Detroit Pistons,W,,104,102,33,42,W 3,
NYK,76,Mon Mar 28 2022,7:30p,,Box Score,,Chicago Bulls,W,,109,104,34,42,W 4,
NYK,77,Wed Mar 30 2022,7:30p,,Box Score,,Charlotte Hornets,L,,114,125,34,43,L 1,
NYK,78,Sat Apr 2 2022,1:00p,,Box Score,,Cleveland Cavaliers,L,,101,119,34,44,L 2,
NYK,79,Sun Apr 3 2022,6:00p,,Box Score,@,Orlando Magic,W,,118,88,35,44,W 1,
NYK,80,Wed Apr 6 2022,7:30p,,Box Score,,Brooklyn Nets,L,,98,110,35,45,L 1,
NYK,81,Fri Apr 8 2022,7:00p,,Box Score,@,Washington Wizards,W,,114,92,36,45,W 1,
NYK,82,Sun Apr 10 2022,7:00p,,Box Score,,Toronto Raptors,W,,105,94,37,45,W 2,
DEN,1,Wed Oct 20 2021,10:00p,,Box Score,@,Phoenix Suns,W,,110,98,1,0,W 1,
DEN,2,Fri Oct 22 2021,9:00p,,Box Score,,San Antonio Spurs,W,,102,96,2,0,W 2,
DEN,3,Mon Oct 25 2021,9:00p,,Box Score,,Cleveland Cavaliers,L,,87,99,2,1,L 1,
DEN,4,Tue Oct 26 2021,10:00p,,Box Score,@,Utah Jazz,L,,110,122,2,2,L 2,
DEN,5,Fri Oct 29 2021,10:00p,,Box Score,,Dallas Mavericks,W,,106,75,3,2,W 1,
DEN,6,Sat Oct 30 2021,9:00p,,Box Score,@,Minnesota Timberwolves,W,,93,91,4,2,W 2,
DEN,7,Mon Nov 1 2021,8:00p,,Box Score,@,Memphis Grizzlies,L,,97,106,4,3,L 1,
DEN,8,Wed Nov 3 2021,8:00p,,Box Score,@,Memphis Grizzlies,L,,106,108,4,4,L 2,
DEN,9,Sat Nov 6 2021,5:00p,,Box Score,,Houston Rockets,W,,95,94,5,4,W 1,
DEN,10,Mon Nov 8 2021,9:00p,,Box Score,,Miami Heat,W,,113,96,6,4,W 2,
DEN,11,Wed Nov 10 2021,9:00p,,Box Score,,Indiana Pacers,W,,101,98,7,4,W 3,
DEN,12,Fri Nov 12 2021,9:00p,,Box Score,,Atlanta Hawks,W,,105,96,8,4,W 4,
DEN,13,Sun Nov 14 2021,8:00p,,Box Score,,Portland Trail Blazers,W,,124,95,9,4,W 5,
DEN,14,Mon Nov 15 2021,8:00p,,Box Score,@,Dallas Mavericks,L,,101,111,9,5,L 1,
DEN,15,Thu Nov 18 2021,9:00p,,Box Score,,Philadelphia 76ers,L,,89,103,9,6,L 2,
DEN,16,Fri Nov 19 2021,9:00p,,Box Score,,Chicago Bulls,L,,108,114,9,7,L 3,
DEN,17,Sun Nov 21 2021,8:00p,,Box Score,@,Phoenix Suns,L,,97,126,9,8,L 4,
DEN,18,Tue Nov 23 2021,10:00p,,Box Score,@,Portland Trail Blazers,L,,100,119,9,9,L 5,
DEN,19,Fri Nov 26 2021,9:00p,,Box Score,,Milwaukee Bucks,L,,109,120,9,10,L 6,
DEN,20,Mon Nov 29 2021,7:30p,,Box Score,@,Miami Heat,W,,120,111,10,10,W 1,
DEN,21,Wed Dec 1 2021,7:00p,,Box Score,@,Orlando Magic,L,,103,108,10,11,L 1,
DEN,22,Sat Dec 4 2021,1:00p,,Box Score,@,New York Knicks,W,,113,99,11,11,W 1,
DEN,23,Mon Dec 6 2021,8:00p,,Box Score,@,Chicago Bulls,L,,97,109,11,12,L 1,
DEN,24,Wed Dec 8 2021,8:00p,,Box Score,@,New Orleans Pelicans,W,OT,120,114,12,12,W 1,
DEN,25,Thu Dec 9 2021,8:30p,,Box Score,@,San Antonio Spurs,L,,111,123,12,13,L 1,
DEN,26,Sat Dec 11 2021,8:30p,,Box Score,@,San Antonio Spurs,W,,127,112,13,13,W 1,
DEN,27,Mon Dec 13 2021,9:00p,,Box Score,,Washington Wizards,W,,113,107,14,13,W 2,
DEN,28,Wed Dec 15 2021,9:00p,,Box Score,,Minnesota Timberwolves,L,,107,124,14,14,L 1,
DEN,29,Fri Dec 17 2021,7:30p,,Box Score,@,Atlanta Hawks,W,,133,115,15,14,W 1,
DEN,30,Wed Dec 22 2021,8:00p,,Box Score,@,Oklahoma City Thunder,L,,94,108,15,15,L 1,
DEN,31,Thu Dec 23 2021,9:00p,,Box Score,,Charlotte Hornets,L,,107,115,15,16,L 2,
DEN,32,Sun Dec 26 2021,9:00p,,Box Score,@,Los Angeles Clippers,W,,103,100,16,16,W 1,
DEN,33,Tue Dec 28 2021,10:00p,,Box Score,@,Golden State Warriors,W,,89,86,17,16,W 2,
DEN,34,Sat Jan 1 2022,8:00p,,Box Score,@,Houston Rockets,W,,124,111,18,16,W 3,
DEN,35,Mon Jan 3 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,89,103,18,17,L 1,
DEN,36,Wed Jan 5 2022,10:00p,,Box Score,,Utah Jazz,L,,109,115,18,18,L 2,
DEN,37,Fri Jan 7 2022,9:00p,,Box Score,,Sacramento Kings,W,,121,111,19,18,W 1,
DEN,38,Sun Jan 9 2022,7:00p,,Box Score,@,Oklahoma City Thunder,W,,99,95,20,18,W 2,
DEN,39,Tue Jan 11 2022,10:30p,,Box Score,@,Los Angeles Clippers,L,,85,87,20,19,L 1,
DEN,40,Thu Jan 13 2022,10:00p,,Box Score,,Portland Trail Blazers,W,,140,108,21,19,W 1,
DEN,41,Sat Jan 15 2022,9:00p,,Box Score,,Los Angeles Lakers,W,,133,96,22,19,W 2,
DEN,42,Sun Jan 16 2022,8:00p,,Box Score,,Utah Jazz,L,,102,125,22,20,L 1,
DEN,43,Wed Jan 19 2022,10:00p,,Box Score,,Los Angeles Clippers,W,OT,130,128,23,20,W 1,
DEN,44,Fri Jan 21 2022,9:00p,,Box Score,,Memphis Grizzlies,L,,118,122,23,21,L 1,
DEN,45,Sun Jan 23 2022,8:00p,,Box Score,,Detroit Pistons,W,,117,111,24,21,W 1,
DEN,46,Tue Jan 25 2022,7:00p,,Box Score,@,Detroit Pistons,W,,110,105,25,21,W 2,
DEN,47,Wed Jan 26 2022,8:00p,,Box Score,@,Brooklyn Nets,W,,124,118,26,21,W 3,
DEN,48,Fri Jan 28 2022,8:00p,,Box Score,@,New Orleans Pelicans,W,,116,105,27,21,W 4,
DEN,49,Sun Jan 30 2022,7:00p,,Box Score,@,Milwaukee Bucks,W,,136,100,28,21,W 5,
DEN,50,Tue Feb 1 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,115,130,28,22,L 1,
DEN,51,Wed Feb 2 2022,10:00p,,Box Score,@,Utah Jazz,L,,104,108,28,23,L 2,
DEN,52,Fri Feb 4 2022,9:00p,,Box Score,,New Orleans Pelicans,L,,105,113,28,24,L 3,
DEN,53,Sun Feb 6 2022,3:30p,,Box Score,,Brooklyn Nets,W,,124,104,29,24,W 1,
DEN,54,Tue Feb 8 2022,9:00p,,Box Score,,New York Knicks,W,,132,115,30,24,W 2,
DEN,55,Fri Feb 11 2022,7:30p,,Box Score,@,Boston Celtics,L,,102,108,30,25,L 1,
DEN,56,Sat Feb 12 2022,7:30p,,Box Score,@,Toronto Raptors,W,,110,109,31,25,W 1,
DEN,57,Mon Feb 14 2022,9:00p,,Box Score,,Orlando Magic,W,,121,111,32,25,W 2,
DEN,58,Wed Feb 16 2022,10:00p,,Box Score,@,Golden State Warriors,W,,117,116,33,25,W 3,
DEN,59,Thu Feb 24 2022,10:00p,,Box Score,@,Sacramento Kings,W,,128,110,34,25,W 4,
DEN,60,Sat Feb 26 2022,9:00p,,Box Score,,Sacramento Kings,W,,115,110,35,25,W 5,
DEN,61,Sun Feb 27 2022,9:00p,,Box Score,@,Portland Trail Blazers,W,,124,92,36,25,W 6,
DEN,62,Wed Mar 2 2022,9:00p,,Box Score,,Oklahoma City Thunder,L,,107,119,36,26,L 1,
DEN,63,Fri Mar 4 2022,9:00p,,Box Score,,Houston Rockets,W,,116,101,37,26,W 1,
DEN,64,Sun Mar 6 2022,8:00p,,Box Score,,New Orleans Pelicans,W,OT,138,130,38,26,W 2,
DEN,65,Mon Mar 7 2022,9:00p,,Box Score,,Golden State Warriors,W,,131,124,39,26,W 3,
DEN,66,Wed Mar 9 2022,10:00p,,Box Score,@,Sacramento Kings,W,,106,100,40,26,W 4,
DEN,67,Thu Mar 10 2022,10:00p,,Box Score,,Golden State Warriors,L,,102,113,40,27,L 1,
DEN,68,Sat Mar 12 2022,9:00p,,Box Score,,Toronto Raptors,L,,115,127,40,28,L 2,
DEN,69,Mon Mar 14 2022,7:30p,,Box Score,@,Philadelphia 76ers,W,,114,110,41,28,W 1,
DEN,70,Wed Mar 16 2022,7:00p,,Box Score,@,Washington Wizards,W,,127,109,42,28,W 2,
DEN,71,Fri Mar 18 2022,7:30p,,Box Score,@,Cleveland Cavaliers,L,OT,116,119,42,29,L 1,
DEN,72,Sun Mar 20 2022,8:00p,,Box Score,,Boston Celtics,L,,104,124,42,30,L 2,
DEN,73,Tue Mar 22 2022,10:00p,,Box Score,,Los Angeles Clippers,W,,127,115,43,30,W 1,
DEN,74,Thu Mar 24 2022,9:00p,,Box Score,,Phoenix Suns,L,,130,140,43,31,L 1,
DEN,75,Sat Mar 26 2022,9:00p,,Box Score,,Oklahoma City Thunder,W,,113,107,44,31,W 1,
DEN,76,Mon Mar 28 2022,7:00p,,Box Score,@,Charlotte Hornets,W,,113,109,45,31,W 2,
DEN,77,Wed Mar 30 2022,7:00p,,Box Score,@,Indiana Pacers,W,,125,118,46,31,W 3,
DEN,78,Fri Apr 1 2022,9:00p,,Box Score,,Minnesota Timberwolves,L,,130,136,46,32,L 1,
DEN,79,Sun Apr 3 2022,3:30p,,Box Score,@,Los Angeles Lakers,W,,129,118,47,32,W 1,
DEN,80,Tue Apr 5 2022,9:00p,,Box Score,,San Antonio Spurs,L,,97,116,47,33,L 1,
DEN,81,Thu Apr 7 2022,9:00p,,Box Score,,Memphis Grizzlies,W,,122,109,48,33,W 1,
DEN,82,Sun Apr 10 2022,9:30p,,Box Score,,Los Angeles Lakers,L,OT,141,146,48,34,L 1,
MIN,1,Wed Oct 20 2021,8:00p,,Box Score,,Houston Rockets,W,,124,106,1,0,W 1,
MIN,2,Sat Oct 23 2021,8:00p,,Box Score,,New Orleans Pelicans,W,,96,89,2,0,W 2,
MIN,3,Mon Oct 25 2021,8:00p,,Box Score,,New Orleans Pelicans,L,,98,107,2,1,L 1,
MIN,4,Wed Oct 27 2021,8:00p,,Box Score,@,Milwaukee Bucks,W,,113,108,3,1,W 1,
MIN,5,Sat Oct 30 2021,9:00p,,Box Score,,Denver Nuggets,L,,91,93,3,2,L 1,
MIN,6,Mon Nov 1 2021,8:00p,,Box Score,,Orlando Magic,L,,97,115,3,3,L 2,
MIN,7,Wed Nov 3 2021,8:00p,,Box Score,,Los Angeles Clippers,L,,115,126,3,4,L 3,
MIN,8,Fri Nov 5 2021,8:00p,,Box Score,,Los Angeles Clippers,L,,84,104,3,5,L 4,
MIN,9,Mon Nov 8 2021,8:00p,,Box Score,@,Memphis Grizzlies,L,OT,118,125,3,6,L 5,
MIN,10,Wed Nov 10 2021,10:00p,,Box Score,@,Golden State Warriors,L,,110,123,3,7,L 6,
MIN,11,Fri Nov 12 2021,10:30p,,Box Score,@,Los Angeles Lakers,W,,107,83,4,7,W 1,
MIN,12,Sat Nov 13 2021,10:30p,,Box Score,@,Los Angeles Clippers,L,,102,129,4,8,L 1,
MIN,13,Mon Nov 15 2021,8:00p,,Box Score,,Phoenix Suns,L,,96,99,4,9,L 2,
MIN,14,Wed Nov 17 2021,8:00p,,Box Score,,Sacramento Kings,W,,107,97,5,9,W 1,
MIN,15,Thu Nov 18 2021,8:00p,,Box Score,,San Antonio Spurs,W,,115,90,6,9,W 2,
MIN,16,Sat Nov 20 2021,8:00p,,Box Score,,Memphis Grizzlies,W,,138,95,7,9,W 3,
MIN,17,Mon Nov 22 2021,8:00p,,Box Score,@,New Orleans Pelicans,W,,110,96,8,9,W 4,
MIN,18,Wed Nov 24 2021,8:00p,,Box Score,,Miami Heat,W,,113,101,9,9,W 5,
MIN,19,Fri Nov 26 2021,7:00p,,Box Score,@,Charlotte Hornets,L,,115,133,9,10,L 1,
MIN,20,Sat Nov 27 2021,6:00p,,Box Score,@,Philadelphia 76ers,W,2OT,121,120,10,10,W 1,
MIN,21,Mon Nov 29 2021,8:00p,,Box Score,,Indiana Pacers,W,,100,98,11,10,W 2,
MIN,22,Wed Dec 1 2021,7:00p,,Box Score,@,Washington Wizards,L,,107,115,11,11,L 1,
MIN,23,Fri Dec 3 2021,7:30p,,Box Score,@,Brooklyn Nets,L,,105,110,11,12,L 2,
MIN,24,Mon Dec 6 2021,8:00p,,Box Score,,Atlanta Hawks,L,,110,121,11,13,L 3,
MIN,25,Wed Dec 8 2021,8:00p,,Box Score,,Utah Jazz,L,,104,136,11,14,L 4,
MIN,26,Fri Dec 10 2021,8:00p,,Box Score,,Cleveland Cavaliers,L,,106,123,11,15,L 5,
MIN,27,Sun Dec 12 2021,9:00p,,Box Score,@,Portland Trail Blazers,W,,116,111,12,15,W 1,
MIN,28,Wed Dec 15 2021,9:00p,,Box Score,@,Denver Nuggets,W,,124,107,13,15,W 2,
MIN,29,Fri Dec 17 2021,10:00p,,Box Score,,Los Angeles Lakers,W,,110,92,14,15,W 3,
MIN,30,Sun Dec 19 2021,8:00p,,Box Score,,Dallas Mavericks,W,,111,105,15,15,W 4,
MIN,31,Tue Dec 21 2021,8:30p,,Box Score,@,Dallas Mavericks,L,,102,114,15,16,L 1,
MIN,32,Thu Dec 23 2021,9:00p,,Box Score,@,Utah Jazz,L,,116,128,15,17,L 2,
MIN,33,Mon Dec 27 2021,8:00p,,Box Score,,Boston Celtics,W,,108,103,16,17,W 1,
MIN,34,Tue Dec 28 2021,8:00p,,Box Score,,New York Knicks,L,,88,96,16,18,L 1,
MIN,35,Fri Dec 31 2021,9:00p,,Box Score,@,Utah Jazz,L,,108,120,16,19,L 2,
MIN,36,Sun Jan 2 2022,9:30p,,Box Score,@,Los Angeles Lakers,L,,103,108,16,20,L 3,
MIN,37,Mon Jan 3 2022,10:30p,,Box Score,@,Los Angeles Clippers,W,,122,104,17,20,W 1,
MIN,38,Wed Jan 5 2022,8:00p,,Box Score,,Oklahoma City Thunder,W,,98,90,18,20,W 2,
MIN,39,Fri Jan 7 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,135,105,19,20,W 3,
MIN,40,Sun Jan 9 2022,7:00p,,Box Score,@,Houston Rockets,W,,141,123,20,20,W 4,
MIN,41,Tue Jan 11 2022,8:00p,,Box Score,@,New Orleans Pelicans,L,,125,128,20,21,L 1,
MIN,42,Thu Jan 13 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,108,116,20,22,L 2,
MIN,43,Sun Jan 16 2022,8:00p,,Box Score,,Golden State Warriors,W,,119,99,21,22,W 1,
MIN,44,Tue Jan 18 2022,7:30p,,Box Score,@,New York Knicks,W,,112,110,22,22,W 2,
MIN,45,Wed Jan 19 2022,7:30p,,Box Score,@,Atlanta Hawks,L,,122,134,22,23,L 1,
MIN,46,Sun Jan 23 2022,8:00p,,Box Score,,Brooklyn Nets,W,,136,125,23,23,W 1,
MIN,47,Tue Jan 25 2022,10:00p,,Box Score,@,Portland Trail Blazers,W,,109,107,24,23,W 2,
MIN,48,Thu Jan 27 2022,10:00p,,Box Score,@,Golden State Warriors,L,,115,124,24,24,L 1,
MIN,49,Fri Jan 28 2022,9:00p,,Box Score,@,Phoenix Suns,L,,124,134,24,25,L 2,
MIN,50,Sun Jan 30 2022,8:00p,,Box Score,,Utah Jazz,W,,126,106,25,25,W 1,
MIN,51,Tue Feb 1 2022,8:00p,,Box Score,,Denver Nuggets,W,,130,115,26,25,W 2,
MIN,52,Thu Feb 3 2022,7:00p,,Box Score,@,Detroit Pistons,W,,128,117,27,25,W 3,
MIN,53,Sun Feb 6 2022,3:30p,,Box Score,,Detroit Pistons,W,,118,105,28,25,W 4,
MIN,54,Tue Feb 8 2022,10:00p,,Box Score,@,Sacramento Kings,W,,134,114,29,25,W 5,
MIN,55,Wed Feb 9 2022,10:00p,,Box Score,@,Sacramento Kings,L,,119,132,29,26,L 1,
MIN,56,Fri Feb 11 2022,8:00p,,Box Score,@,Chicago Bulls,L,,122,134,29,27,L 2,
MIN,57,Sun Feb 13 2022,3:00p,,Box Score,@,Indiana Pacers,W,,129,120,30,27,W 1,
MIN,58,Tue Feb 15 2022,8:00p,,Box Score,,Charlotte Hornets,W,OT,126,120,31,27,W 2,
MIN,59,Wed Feb 16 2022,8:00p,,Box Score,,Toronto Raptors,L,,91,103,31,28,L 1,
MIN,60,Thu Feb 24 2022,8:00p,,Box Score,,Memphis Grizzlies,W,,119,114,32,28,W 1,
MIN,61,Fri Feb 25 2022,8:00p,,Box Score,,Philadelphia 76ers,L,,102,133,32,29,L 1,
MIN,62,Mon Feb 28 2022,7:00p,,Box Score,@,Cleveland Cavaliers,W,,127,122,33,29,W 1,
MIN,63,Tue Mar 1 2022,8:00p,,Box Score,,Golden State Warriors,W,,129,114,34,29,W 2,
MIN,64,Fri Mar 4 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,138,101,35,29,W 3,
MIN,65,Sat Mar 5 2022,8:00p,,Box Score,,Portland Trail Blazers,W,,135,121,36,29,W 4,
MIN,66,Mon Mar 7 2022,8:00p,,Box Score,,Portland Trail Blazers,W,,124,81,37,29,W 5,
MIN,67,Wed Mar 9 2022,8:00p,,Box Score,,Oklahoma City Thunder,W,,132,102,38,29,W 6,
MIN,68,Fri Mar 11 2022,7:00p,,Box Score,@,Orlando Magic,L,,110,118,38,30,L 1,
MIN,69,Sat Mar 12 2022,8:00p,,Box Score,@,Miami Heat,W,,113,104,39,30,W 1,
MIN,70,Mon Mar 14 2022,8:30p,,Box Score,@,San Antonio Spurs,W,,149,139,40,30,W 2,
MIN,71,Wed Mar 16 2022,8:00p,,Box Score,,Los Angeles Lakers,W,,124,104,41,30,W 3,
MIN,72,Sat Mar 19 2022,5:00p,,Box Score,,Milwaukee Bucks,W,,138,119,42,30,W 4,
MIN,73,Mon Mar 21 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,108,110,42,31,L 1,
MIN,74,Wed Mar 23 2022,8:00p,,Box Score,,Phoenix Suns,L,,116,125,42,32,L 2,
MIN,75,Fri Mar 25 2022,8:00p,,Box Score,,Dallas Mavericks,W,,116,95,43,32,W 1,
MIN,76,Sun Mar 27 2022,6:00p,,Box Score,@,Boston Celtics,L,,112,134,43,33,L 1,
MIN,77,Wed Mar 30 2022,7:30p,,Box Score,@,Toronto Raptors,L,,102,125,43,34,L 2,
MIN,78,Fri Apr 1 2022,9:00p,,Box Score,@,Denver Nuggets,W,,136,130,44,34,W 1,
MIN,79,Sun Apr 3 2022,7:00p,,Box Score,@,Houston Rockets,W,,139,132,45,34,W 2,
MIN,80,Tue Apr 5 2022,8:00p,,Box Score,,Washington Wizards,L,,114,132,45,35,L 1,
MIN,81,Thu Apr 7 2022,8:00p,,Box Score,,San Antonio Spurs,W,,127,121,46,35,W 1,
MIN,82,Sun Apr 10 2022,8:30p,,Box Score,,Chicago Bulls,L,,120,124,46,36,L 1,
MIN,83,Tue Apr 12 2022,9:30p,,Box Score,,Los Angeles Clippers,W,,109,104,47,36,W 1,Play-In Game
UTA,1,Wed Oct 20 2021,9:00p,,Box Score,,Oklahoma City Thunder,W,,107,86,1,0,W 1,
UTA,2,Fri Oct 22 2021,10:00p,,Box Score,@,Sacramento Kings,W,,110,101,2,0,W 2,
UTA,3,Tue Oct 26 2021,10:00p,,Box Score,,Denver Nuggets,W,,122,110,3,0,W 3,
UTA,4,Thu Oct 28 2021,8:00p,,Box Score,@,Houston Rockets,W,,122,91,4,0,W 4,
UTA,5,Sat Oct 30 2021,8:00p,,Box Score,@,Chicago Bulls,L,,99,107,4,1,L 1,
